Num;Old_Num;MOTS_AR;MOTS_fr;DESIGNATION;DESIGNATION_fr;chairdappartenance;Sous_Chapitre
33;32;الاستباق في الشؤون العسكرية;L’anticipation  dans les affaires militaires;"هو تحديد التطورات المستقبلية للظواهر والتحولات العسكرية من الناحيتين النظرية والتطبيقية وكذا التغيرات المحتملة في الموقف الاستراتيجي، العملياتي والتكتيكي وأخذها بعين الاعتبار. أهمية الرؤية المستقبلية في الشؤون العسكرية تعود أولا إلى دينامية وتنوع عوامل تطور الشأن العسكري التي يجب أخذها في الحسبان للمستقبل وثانيا إلى محدودية المعلومة حول الواقع الخارجي المحيط والذي يزداد بسببه عنصر الغموض  اتساعا.
 يتشكل ميدان الاستباق في الشأن العسكري من طبيعة ومضمون وجوهر الحروب المحتملة، تطور الموقف السياسي العسكري في العالم وفي المناطق محل الاهتمام، الوسائل والأساليب الجديدة للصراع المسلح، سير العمليات وردود أفعال القوات الصديقة وقوات العدو عند حدوث تغيرات على الموقف وغير ذلك. 
من حيث درجة تعليل وتصنيف الأحكام فإن الاستباق في الشأن العسكري قد يتجلى على شكل مقترحات وتنبؤات.";"Consiste à définir et à prendre en considération les évolutions futures des phénomènes et les transformations militaires tant théoriques que pratiques, ainsi que les changements éventuels dans le contexte stratégique et la situation opérationnelle et tactique. L'importance de l’anticipation dans les affaires militaires est liée en premier lieu au dynamisme et à la diversité des facteurs de développement du point de vue militaire, qui doivent être pris en considération dans l’avenir, et en second lieu aux informations limitées sur le milieu extérieur, qui fait accroitre le facteur d’ambigüité. Le domaine de l’anticipation militaire comprend : le caractère, le contenu et l’essence des guerres éventuelles, l’évolution du contexte politico-militaire dans le monde et dans certaines régions d’intérêt, les
 nouveaux moyens et procédés des conflits armés ainsi que le déroulement des opérations et le comportement des forces amies et ennemies face aux changements de situations, et autres.
Pour ce qui est de l’argumentation et de la classification des résolutions, l’anticipation dans les affaires militaires peut prendre la forme de suggestions et prédictions.";إستراتيجية;20
34;33;استخدام القوات البحرية في العمليات الاستراتيجية (دفاعية /هجوية);Emploi des Forces Navales dans les Opérations Stratégiques  Défensive/Offensive ;قسم من أقسام الاستراتيجية المحددة لدور ، مكان ، مهام ، مبادئ ، طرق ، و أشكال استخدام القوات البحرية في مختلف أنواع الحروب التي تجري على الاتجاهات الساحلية . تستخدم القوات البحرية على المستوى الاستراتيجي بغرض تأمين تجمع القوات المشتركة الصديقة من تهديدات العدو الآتية من البحر ، تحقيق السيادة في منطقة الأعمال الحربية البحرية، حماية خطوط المواصلات البحرية الصديقة ، الإخلال بخطوط المواصلات البحرية المعادية، توفير الإسناد الناري ضد الأهداف الحيوية البرية و الإبرار (الإخلاء) للقوات الصديقة ، و محاصرة القوات المعادية من البحر.;L’une des composantes de l’emploi stratégique des forces armées définissant le rôle, la place, les missions, les principes, les procédés et les formes d’emploi des forces navales lors des différents types de guerres se déroulant sur les directions littorales. Les forces navales sont employées au niveau stratégique afin de sécuriser le groupement des forces amies combinées contre les menaces ennemies provenant de la mer, réaliser la suprématie maritime dans les zones d’action de combat, la protection des voies de communication maritimes amies, la perturbation des voies de communication maritimes ennemies, assurer l’appui feu contre les objectifs vitaux terrestres et le débarquement (évacuation) des forces amies, et l’encerclement des forces ennemies par la mer.;قوات بحرية;20
35;34;الاستخدام الإستراتيجي للقوات المسلحة;L'emploi stratégique des forces armées;"يعتبر من أقسام الإستراتيجية العسكرية للدولة المحددة للمهام الرئيسية، مبادئ، طرق وأشكال استخدام القوات المسلحة.  وهو عبارة عن التخطيط والتنظيم المسبق لاستخدام القوات والتجميعات الإستراتيجية  لتنفيذ مهامها السياسية العسكرية والإستراتيجية قبل وخلال سير الحرب وكذا لإدارة الحملات والعمليات الإستراتيجية  بمختلف أنواعها. يشمل الاستخدام الإستراتيجي للقوات المسلحة ما يلي: 
•الفتح الإستراتيجي للقوات المسلحة؛
•زج القوات المسلحة في الأعمال الحربية للتصدي للهجوم المعادي أو لتوجيه ضربات للعدو برا، بحرا وجوا؛
•منظومة العمليات الإستراتيجية للقوات المسلحة؛
•العمليات الإستراتيجية للتصدي للهجوم الجو-فضائي المعادي؛
•العمليات الإستراتيجية الأولى واللاحقة (عملية مجموعة الجبهات) على مختلف مسارح الأعمال الحربية؛
•العمليات (الأعمال) الإستراتيجية على المسارح البحرية؛
•عمليات الإنزال المشتركة الجوية والبحرية؛
•العمليات الجوية وعمليات الدفاع الجوي؛
•إعادة التجميع الإستراتيجي للقوات؛
•منظومة التأمين الإستراتيجي للقوات المسلحة؛
•تنظيم الدفاع المدني.
يتحدد من خلال خطة الاستخدام الإستراتيجي للقوات المسلحة المنجزة في وقت السلم طبقا للموقف السياسي العسكري والإستراتيجي المترتب، أهداف وطبيعة الحرب أومن خلال التنبؤات المطروحة. 
ينظم من طرف أركان القوات المسلحة مع إجراء التعديلات اللازمة وفقا لتغيرات الموقف، تعداد القوات المسلحة وقوات العدو، ظهور أسلحة وأفكار إستراتيجية جديدة.";"Partie intégrante de la stratégie militaire de l'Etat, il détermine les missions principales, les principes, les méthodes et les formes d’emploi des forces armées. Il se résume dans la planification et l'organisation préalable de l’emploi des forces et des groupements stratégiques pour l’accomplissement des missions politiques, militaires et stratégiques avant et au cours du déclenchement de la guerre. L’emploi stratégique des forces armées englobe aussi la conduite des campagnes et des opérations stratégiques de différents types et comprend:
•le déploiement stratégique des forces armées ;
•L’engagement des forces armées dans les actions de guerre pour contre carrer l’offensive ennemie ou pour porter des frappes  à l’ennemi  par terre, mer et air;
•L’ensemble des opérations stratégiques des forces armées;
•les opérations stratégiques  pour faire face à l’offensive aérospatiale ennemie ;
•la première opération stratégique (inaugurale) et les opérations stratégiques ultérieures (opération du groupe de fronts) sur les différents théâtres de guerre ;
•les opérations stratégiques menées sur les théâtres maritimes ;
•Les opérations communes de  débarquement naval et aérien ;
•Les opérations aériennes et les opérations de défense aérienne ;
•le  regroupement stratégique des forces ;
•le Système de soutien stratégique des forces armées ;
•l’organisation de la défense civile.
A travers le plan de l’emploi stratégique des forces armées,  élaboré en temps de paix selon le contexte politico- militaire et stratégique prévalant, ainsi qu’en fonction des études de prospective, sont définis les objectifs stratégiques et la nature de la guerre.
L’emploi stratégique des forces armées est organisé par l'état-major des forces armées, en  procédant à des réajustements nécessaires  selon les changements de la situation,  le volume des forces armées amies et ennemies,  l’apparition de nouvelles armes et l’émergence de nouvelles conceptions stratégiques.";إستراتيجية;20
36;35;إستراتيجية الأعمال المحدودة;Stratégie des actions limitées;هي إحدى طرق إدارة الحرب والعمليات ذات الأهداف المحدودة والتي تعتمد على تحديد مناطق الأعمال العسكرية باستخدام جزء من القوة العسكرية أو بعض تجمعات القوات المسلحة وتوجيه الضربات على أهداف وأغراض معينة، كما تتبع هذه الإستراتيجية في حالة عدم حتمية استخدام كل القوة العسكرية للدولة لتحقيق الأهداف المسطرة أو في حالة تجنب أحد الأطراف لخطورة الأعمال العسكرية الواسعة الأبعاد.;Méthodes de conduite de la guerre et des opérations dont les objectifs sont limités, elle œuvre à restreindre les zones des actions de guerre et ce par l’emploi d’une partie de la force militaire ou de certains groupements des forces armées en exécutant des frappes sur des objectifs déterminés. Aussi, cette stratégie est adoptée  lorsque l’emploi de la l’ensemble de la puissance militaire de l'Etat pour atteindre les objectifs planifiés  n’est pas nécessaire, elle est adoptée aussi lorsque l’un des belligérants veut éviter l’escalade des actions de guerre.;إستراتيجية;20
37;36;إستراتيجية الأعمال غير المباشرة;Stratégie  des actions indirectes;هي منظومة الإجراءات والأعمال السياسية العسكرية والإستراتيجية العسكرية، الموجهة لخلق ظروف غير مناسبة لنشر واستخدام القوات المسلحة المعادية عن طريق العمل على منع دخوله في تحالفات، تطبيق الحصار، قطع طرق المواصلات، تدمير قدراته العسكرية التقنية، التأثير المعنوي على المواطنين وأفراد القوات المسلحة المعادية.;Ensemble de mesures et d’actions politico- militaires et de stratégie militaire, destinées à créer des conditions défavorables au déploiement et à l'emploi des forces armées de l'ennemi, en œuvrant à l’empêcher d’intégrer des alliances, le mettre sous blocus, couper ses voies de communication, empêcher l’emploi voire détruire ses capacités militaires techniques, influencer psychologiquement ses populations et les membres de ses forces armées.;إستراتيجية;20
38;37;استراتيجية الأمن الوطني;Stratégie de sécurité nationale;"هي جملة الأولويات والأهداف السياسية والاستراتيجية والطرق والوسائل الموجهة لتحقيقها والمعتمدة رسميا من قبل الدولة في مجال سياستها العامة والتي تحدد حالة الأمن الوطني ومستوى ثبات ونمو الدولة في الأفق البعيد. 
جوهر إستراتيجية الأمن الوطني يعكس المنظور الشامل لمضمون نشاط الدولة المؤسس على فكرة موحدة في جميع مجالات مسؤولياتها والموجه أساسا لكشف، صد ومواجهة كل أشكال الأخطار والتهديدات الداخلية والخارجية على كيان الأفراد، المجتمع والدولة ككل.";"Ensemble de priorités et d’objectifs politiques et stratégiques, ainsi que des voies et moyens orientés vers leur concrétisation, et officiellement adoptés par l’Etat dans le cadre de sa politique générale qui déterminent l’état de la sécurité nationale, le niveau de stabilité et de développement de l’Etat à long terme. 
L’essence de la stratégie de sécurité nationale reflète la vision globale du contenu de l’activité de l’Etat, basée sur une idée unifiée dans tous les domaines de ses compétences et qui est orientée principalement vers la détection, le repoussement et l’affrontement de toutes les formes de menaces et dangers, internes ou externes, et qui sont dirigés contre l’entité des individus, de la société et de l’Etat dans son ensemble.";إستراتيجية;20
39;38;الإستراتيجية البحرية;Stratégie Navale;جزء من الإستراتيجية العسكرية التي تسمح باستخدام القوة العسكرية على مسرح الأعمال الحربية البحري لتحقيق الأهداف الإستراتيجية للحرب وهي تعتمد على تحضير وإدارة العمليات البحرية الإٌستراتيجية الدفاعية أو الهجومية المضادة لحماية أو إسناد من اتجاه البحر القوات المسلحة العاملة على الاتجاه الساحلي. ويعود الدور الرئيسي في هذه الإستراتيجية للقوات البحرية والقوات الجوية.;Partie de la stratégie militaire, assurant l’emploi de la force militaire sur le théâtre maritime des actions de guerre, afin d’atteindre les objectifs stratégiques de la guerre, elle est basée sur la préparation et la conduite des opérations navales stratégiques défensives et contre offensives afin de protéger et d’appuyer les forces opérant dans la direction côtière. Le rôle principal dans cette stratégie revient aux forces navales et aériennes.;قوات بحرية;20
40;39;الإستراتيجية الدبلوماسية;Stratégie diplomatique;هي مجموعة الأساليب والطرق التي تطبقها الدول بواسطة ممثليها الدبلوماسيين لتحقيق هدف معين، ويُراعى فيها اختيار الوقت المناسب والطريقة الملائمة لاتخاذ مبادرة، أو التقدم باقتراح، أو إصدار بيان يتضمن التأييد أو الاستنكار، أو التريث في الإجابة عن موضوع معين، ريثما تتجلى الحقائق وتستقر الظروف، أو عدم الإجابة مطلقاً، أو تجاهل الموضوع، أو كشف الستار عن معلومات خفية، أو التأجيل والمماطلة، أو اللجوء تارة إلى المسايرة أو الملاينة، وتارة أخرى إلى التحذير والتنبيه، أو استدراج الجهة الأخرى والإدلاء بما تملك أو القيام بحملة إعلامية واسعة النطاق، أو قطع العلاقات الدبلوماسية مع جهة دون غيرها، أو تقديم المساعدات المالية أو وقفها، أو عقد اجتماع قمة، أو دعوة شخصية كبرى، أو هيئة رسمية.;Ensemble de procédés  et méthodes adoptés par les États à travers ses représentants diplomatiques pour atteindre un objectif déterminé avec la prise en considération du choix du moment opportun et de la méthode appropriée  pour entreprendre une initiative, faire une suggestion, faire une déclaration de soutien ou de condamnation, temporiser pour répondre à propos d’un sujet précis en attendant que la vérité apparaisse et que la situation se stabilise, ou ne pas répondre catégoriquement, ignorer le sujet, dévoiler  des informations secrètes, report et procrastination, parfois faire recours à l’harmonie et la souplesse et parfois procéder à  l’avertissement et attirer l’attention,  ou pousser la partie adverse à faire des déclarations sur ses intentions, mener  une large compagne d’information, rompre unilatéralement les relations diplomatiques, apporter des aides financières ou les suspendre, provoquer une réunion au sommet, inviter une grande  personnalité ou un organisme officiel.;إستراتيجية;20
41;40;إستراتيجية الدفاع السبيراني;La stratégie de la Cyberdéfense;"هي الكيفيات التطبيقية التي تهدف للحماية من التهديدات السيبيرانية التي تستهدف أنظمة المعلومات و منظومات الإتصال و كذا منظومات الأسلحة للقوات، و التي تعتمد بنسبة كبيرة على المكونات الإلكترونية و أنظمة الإعلام الآلي.
تغطي استراتيجية الدفاع السبيراني كافة مستويات القرار و التنفيذ و تستخدم كافة وسائل القوى و تعني كل الوظائف.";"C’est les modalités pratiques qui visent à se protéger des menaces cybernétiques ciblant les systèmes d’information, les systèmes de communications ainsi que les systèmes d’armes des forces, dépendant   fortement des composants électroniques et des systèmes informatiques.
La stratégie de cyberdéfense couvre l’ensemble des niveaux de décision et de l’exécution, elle emploie l’ensemble des moyens des forces et concerne toutes les fonctions.";إشارة و حرب إلكترونية;20
42;41;إستراتيجية الردع;Stratégie de la Dissuasion;هي إحدى طرق الأعمال الإستراتيجية المبنية على أساس تنفيذ جملة من الإجراءات السياسية، الاقتصادية، العسكرية، الإيديولوجية و العلمية التقنية و إجراءات أخرى ، منسقة و منفذة في نفس الوقت أو بالتسلسل، و الموجهة للعمل على استقرار الموقف السياسي العسكري و العسكري الاستراتيجي، منع تطور النزاع المسلح و اجتناب العدوان بأعمال الرد، و كذا منع توسع الأعمال العسكرية نحو مناطق أخرى و التحسب لزج وسائل الصراع الأكثر تدميرا. مثل هذه الإستراتيجية تفترض إمكانية توجيه ضربات رد على العدو تتميز بالقوة و الفعالية و تكبيده خسائر معتبرة خلال المرحلة الابتدائية للحرب.;L’un des Modes d’action stratégique et est basé sur la mise en œuvre d’un ensemble de mesures politiques, économiques, militaires, idéologiques, technico-scientifiques et autres, coordonnées et exécutées simultanément ou successivement, et  dirigées pour  stabiliser le contexte politico-militaire et stratégique militaire, contenir l’évolution du conflit armé et dissuader l’agresseur par des actions de riposte et de circonscrire l’extension des actions militaires à d’autres zones, et prévenir l’emploi de moyens hautement dévastateurs. Une telle stratégie suppose une capacité de riposte capable d’infliger des pertes importantes à l’ennemi, au cours de la phase initiale de la guerre.;إستراتيجية;20
44;42;الإستراتيجية العسكرية;Stratégie militaire;"الاستراتيجية: هي علم وفن إعداد الخطط والوسائل التي تعالج الوضع الكلي للصراع الذي تستخدم فيه القوة بشكل مباشر وغير مباشر من أجل تحقيق هدف السياسة الذي يتعذر تنفيذه بوسائل أخرى. تعتبر من أسمى مجالات الفن العسكري وتتمحور حول مسائل تخطيط، تنظيم وإدارة الحروب، الحملات والعمليات الاستراتيجية كما تشمل المسائل العامة للبناء العسكري وإعداد الدولة للحرب، تنظيم وإدارة الصراع المسلح في كل المجالات. تنقسم الإستراتيجية العسكرية إلى ما يلي:
•إستراتيجية تحضير وإدارة الحرب بشكل عام؛ 
•إستراتيجية الأعمال على مسرح الحرب؛ 
•إستراتيجية إدارة الحملات والعمليات على المستوى الإستراتيجي؛ 
•الاستخدام الإستراتيجي لأنواع القوات المسلحة. تعكف نظرية الإستراتيجية على دراسة قوانين و طبيعة الحروب والعمليات وكمجال للنشاط التطبيقي. تتكفل الإستراتيجية بتحديد المهام السياسية العسكرية والإستراتيجية للقوات المسلحة، إعداد خطط إدارة الحرب، الحملات والعمليات الإستراتيجية، تحقيقها، التطبيق الميداني لإجراءات تحضير القوات المسلحة، مسارح الأعمال العسكرية، اقتصاد الدولة وسكانها للحرب، دراسة إمكانيات ونوايا العدو المحتمل، تنظيم التعاون الإستراتيجي، التأمين والسيطرة على القوات المسلحة.الإستراتيجية العسكرية مستنبطة من سياسة الدولة. خلال الحرب يمكن للإستراتيجية العسكرية أن تعرف تغييرات وفقا للموقف السياسي العسكري والاستراتيجي المترتب وديناميكية تطور إمكانيات وتناسب قوى أطراف الحرب.";"La Stratégie est la science et l’art d’élaboration des plans et des méthodes qui traitent de la situation générale du conflit où s’emploie la force sous forme directe ou indirecte dans le but d’atteindre l‘objectif politique dont la concrétisation ne peut être atteinte par d’autres moyens. Elle est considérée comme domaines suprêmes de l'art militaire, comme elle s’articule autour des questions de planification, d’organisation et de conduite des guerres, des campagnes et des opérations stratégiques; elle englobe aussi les questions générales de l’édification militaire et la préparation de l’Etat à la guerre  , ainsi que l'organisation et la conduite des conflits armés dans tous les domaines. 
La stratégie militaire se subdivise en : 
• La Stratégie de préparation et de conduite de la guerre d’une manière générale ; 
• La Stratégie des actions sur le théâtre de guerre ; 
• La Stratégie de conduite des campagnes et d’opérations au niveau stratégique ;
• L’Emploi stratégique des forces armées. 
La théorie de la stratégique prend en charge l’étude des lois et du caractère des guerres et des opérations, ceux-là mêmes  qui représentent son domaine d'activité pratique.
 La stratégie se charge de la définition des missions politico-militaires et stratégiques des forces armées, de l’élaboration des plans de conduite de la guerre, des campagnes, des opérations stratégique  et  leur concrétisation ; de la mise en œuvre des mesures pratiques pour la préparation des forces armées, des théâtres des actions militaires, de l’économie de l’Etat et de sa population pour la guerre ; de l’étude des capacités et des intentions éventuelles ennemies ; de l’organisation de la coopération stratégique, du soutien et de la conduite des forces armées.
La stratégie militaire découle de la politique de l'Etat. Durant la guerre, la stratégie militaire peut connaitre des évolutions en fonction des contextes politico-militaire et stratégique prévalant, ainsi que de la dynamique de l’évolution des capacités et du rapport de forces des belligérants.";إستراتيجية;20
45;43;الإستراتيجية الكبرى;Grande stratégie;مصطلح تستخدمه بعض الدول للإشارة إلى الاستراتيجية العسكرية وقبل كل شيء استراتيجية الحرب، تحضيرها وإدارتها، استخدام القوات المسلحة في الحرب ككل، طرق وأشكال الصراع المسلح على كل مسارح الأعمال العسكرية. يتم في إطارها التكفل بالمسائل الكبرى المتعلقة بإدارة الحرب والصراع المسلح، تحديد كيفية سيرها ونتائجها.;Terme Utilisé dans certains pays pour faire référence à la stratégie militaire et avant tout à la stratégie de la guerre ainsi que sa préparation et sa conduite, l’emploi des forces armées dans la guerre, modes et formes des conflits armés sur les théâtres des actions de guerre. Dans le cadre de cette stratégie sont prises en charge les questions relatives à la conduite de la guerre et des conflits armés ainsi que la prévision de leurs déroulements et ses résultats éventuels.;إستراتيجية;20
46;44;الإستسلام;Capitulation;يعتبر أحد طرق وقف الأعمال الحربية في القانون الدولي، وتقبل الطرف المنهزم شروط الطرف المنتصر. يفترض توقيف المقاومة المسلحة من طرف المنهزم والإعلان عن تسليم القوات المسلحة، وأفرادها الذين يحولون إلى أسرى حرب. هناك نوعان من الاستسلام: استسلام جزئي واستسلام كلي. الاستسلام الجزئي هو الاستسلام الذي لا يؤدي إلى  تحمل مسؤولية سياسية من طرف الدولة، بينما الاستسلام الكلي هو الذي يوقع عادة بعد التدمير الكلي للقوات المسلحة وفقا لشروط المنتصر.;"Considérée comme une des méthodes de cessation des actions de guerre dans le droit international humanitaire où la partie vaincue accepte les conditions du vainqueur ;  Cela suppose donc l’arrêt de la résistance armée par le vaincu, l’annonce de la reddition de ses forces armées et la constitution de ses membres en prisonniers de guerre. Il existe deux types de capitulation : partielle et totale. La capitulation partielle n’induit pas la responsabilité de la politique de l'État, tandis que la capitulation totale survient conformément aux conditions du vainqueur, généralement après la destruction totale des forces armées du vaincu.";إستراتيجية;20
47;45;الاستشراف في الشؤون العسكرية;Prospective dans les affaires militaires;"يعتبر من أنواع البحث العسكري وهو نشاط علمي إدراكي وتوقعات لتطور الأحداث على ضوء تحليل الوقائع المعروفة ومعرفة قوانين تطور ظواهر الصراع المسلح التي تكشف عنها قوانين واتجاهات تطورها بهدف تحديد آفاق تطور الموقف السياسي العسكري، المنظومات العسكرية للدول، البناء العسكري، بناء القوات المسلحة والقوات الأخرى وكذا كيفية سير ونتائج الأعمال الحربية والحروب.
ينظم  الاستشراف العسكري حسب الاتجاهات الرئيسية التالية: - بناء القوات المسلحة والقوات الأخرى للدولة والقوات المسلحة للعدو المحتمل؛- إدارة القوات المسلحة والأعمال الحربية؛- تطور منظومات التسليح، نظريات التربية والتعليم العسكري.
من أهم مجالات الاستشراف العسكري: المجال الاجتماعي العسكري، السياسي العسكري، الإستراتيجي العسكري، العملياتي-التكتيكي، الاقتصادي العسكري والعسكري التقني.
ينقسم الاستشراف العسكري إلى: 
• الاستشراف قصير المدى: تحدد من خلاله آفاق تطور الظواهر على المدى القريب لمدة حتى خمس(05) سنوات؛
• الاستشراف على المدى المتوسط: يشمل مرحلة تتراوح بين 5 و10 سنوات؛ 
• الاستشراف على المدى البعيد: لمدة تتعدى عشر(10) سنوات.";"Fait partie de la recherche militaire, c’est une activité scientifique et des prédictions de  l'évolution de la situation en cours sur la base de l'analyse des faits avérés et de la connaissance des  lois de l'évolution des phénomènes du conflit armé révélés par les lois et les tendances de son évolution afin de déterminer les perspectives de l'évolution du contexte politico-militaire, les organisations militaires des Etats, l’édification militaire, la construction des forces armées et autres forces ainsi que la méthode  de la conduite et des résultats des actions de  guerre.
 La prospective  militaire est organisée selon les axes principaux suivants :
-La construction des forces armées et autres forces de l’Etat et les forces armées de l’ennemi probable ;
-Le commandement des forces armées et des actions de combat ;
-Le développement des systèmes d’armes, les théories de l’éducation et de l’enseignement  militaire.
Les principaux domaines de la prospective militaire sont :
Le domaine socio-militaire, politico-militaire, stratégico-militaire, tactico-opératif, économique militaire et technique  militaire.
La prévision se subdivise en :
• prospection à court terme : détermine les horizons de l’évolution des phénomènes à court terme pour une durée de cinq (05) ans ;  
•prospective à moyen terme : comprend la période  entre 5 et 10 ans ;
• prospective  à long terme : pour une durée  de plus de dix 10 ans.";إستراتيجية;20
48;46;الاستطلاع الإستراتيجي;La Reconnaissance Stratégique;هو الذي ينظم من طرف القيادة العليا، يجرى (ينفذ) في جميع الأوقات، في السلم والحرب لصالح تحضير وإدارة الحرب عموما.;il est Organisé par le haut commandement et s’effectue (s’exécute) en tout temps, en temps de paix comme en temps de guerre, pour la préparation et la conduite de la guerre en général.;سطع;20
49;47;الإستطلاع الجوي الإستراتيجي;Reconnaissance aérienne stratégique;ينظم وينفذ، بغرض تأمين القيادة بالمعطيات المطلوبة عن أهداف العدو، المتواجدة في العمق والمؤخرة وكذلك تأمين الجاهزية للقيام بالعمليات الإستراتيجية، باستخدام كل الوسائل الجوية المتاحة للدولة.;Organisée et exécutée dans le but de fournir au commandement les données requises sur les objectifs ennemis, situés en profondeur et aux arrières et aussi d’assurer la disponibilité au combat pour mener les opérations stratégiques, avec l’emploi de tous les moyens aériens dont dispose l’état.;قوات جوية;20
50;48;الاستطلاع العسكري;Reconnaissance Militaire;هو مجمل الإجراءات المتخذة من طرف القيادات للحصول على المعلومات عن القوات المسلحة للعدو المحتمل (الحقيقي أو الافتراضي)، نواياه وطبيعة مسرح العمليات المستقبلية والموقف السياسي والاقتصادي والاجتماعي للعدو، بغية تحديد قدراته العسكرية وكشف نواياه العسكرية والسياسية.;Ensemble de mesures prises par les différents commandements pour  recueillir les données sur les forces armées de l’ennemi éventuel (réel ou probable), ses intentions, la nature du théâtre des opérations futures et sur les contextes politique, économique et sociologique de l’ennemi pour mieux apprécier ses capacités militaires et de déceler ses intentions politiques et militaires.;سطع;20
51;49;الاستطلاع الفضائي;Reconnaissance spatiale;هو جملة الإجراءات المتعلقة بجمع المعطيات الاستطلاعية باستخدام الوسائل الفضائية. يجري الاستطلاع الفضائي بواسطة أجهزة التصوير الفضائي، راديو تقني، راداري، حراري وأنواع أخرى.;Ensemble des mesures liées à la collecte des données de reconnaissance, par l’emploi des moyens spatiaux. La reconnaissance spatiale est menée avec des équipements de photographie satellitaire, radiotechniques, radars, thermiques et autres.;سطع;20
52;50;الاستعداد العسكري (الجاهزية);Aptitude militaire  Etat prêt ;حالة التنظيم العسكري للدولة (للتحالف)، التي تصف مدى استعداده وجاهزيته للتنفيذ الفوري لمهامه الوظيفية. تتمثل مكونات الاستعداد العسكري في: الاستعداد القتالي للقوات المسلحة، استعداد مختلف عناصر التنظيم العسكري والمؤسسات الاجتماعية لمختلف أشكال الصراعات في الحرب (الصراع المسلح، الصراع الاقتصادي، الصراع الدبلوماسي وصراعات أخرى) والدفاع المدني. يقدر الاستعداد العسكري بدرجة استعداد الدولة ككل.;"Situation de l’organisation militaire de l'État (de l'Alliance) qui traduit le degré de disponibilité immédiate à accomplir ses missions fonctionnelles. Les facteurs de l’aptitude militaire sont : l’état prêt au combat, l’état prêt des différentes composantes de l’organisation militaire et institutions sociales aux différentes formes de guerre (armée, économique, diplomatique et autres) ainsi que la défense civile.
L’aptitude militaire est évaluée en fonction de l’aptitude de l’Etat dans son ensemble.";إستراتيجية;20
53;51;الاستعداد العملياتي والقتالي للقوات;Aptitude opérationnelle et au combat des forces;"هو حالة القوات المسلحة، التي تعكس قدرتها على الانتقال إلى الاستعداد القتالي المطلوب (الضروري)، تنفيذ التعبئة، وبدأ الأعمال القتالية وتنفيذ المهام المسندة بنجاح في الوقت المناسب. يتم الإشراف على الاستعداد التعبوي والقتالي من طرف القيادة، ويجب أن يؤمن ما يلي: - المعرفة الكاملة والفهم الصحيح للمهام المسندة لكل القادة والأركانات وعناصر القيادة المرؤوسة وكل الأفراد؛ -التنظيم المناسب للخفارة العملياتية؛ - الاستعداد الدائم لصد الأعمال الحربية الاستفزازية والهجمات المفاجئة المعادية؛ - سحب القوات في الوقت المناسب من تحت الضربات المعادية المتوقعة؛ - المحافظة على جاهزية العتاد للاستخدام القتالي الفوري؛ - الاستعداد للتعبئة؛ - التحويل المنظم للقوات إلى درجة استعداد قتالي أعلى في الوقت المناسب وتحضيرها للأعمال القتالية. على اساس تحاليل الأركانات يقوم القادة  بدراسة التطور المتوقع للموقف السياسي العسكري والعملياتي والاستغلال الفعال لمعطيات الاستطلاع الدائم بكشف نوايا وطرق أعمال العدو.";"Est l'état des forces armées, qui traduit sa capacité de passer à l’état prêt requis au combat, mise en œuvre de la mobilisation, engager les actions de combat et accomplir les missions assignées avec succès en temps opportun. Le commandement supervise l’aptitude opérationnelle et au combat et doit s’assurer:
-de la connaissance parfaite et l’assimilation correcte des missions assignées par tous les commandants, les états-majors subordonnés et tous les personnels;
-de l’organisation adéquate de la permanence opérationnelle ;
-de l’état prêt permanent pour faire face aux actions de provocation et attaques surprises ennemies ;
-du repli des forces en temps opportun pour éviter les frappes ennemies probables ;
-du maintien en disponibilité du matériel pour l’emploi immédiat au combat ;
-de l’état prêt pour la mobilisation;
-du passage organisé et à temps des forces à l’état prêt supérieur et de leur préparation aux actions de combat.
On se basant sur les analyses des états-majors, Les commandants étudient l’évolution probable de la situation politico-militaire et opérationnelle et exploitent d’une manière efficace les données de la reconnaissance permanente afin de déceler les intentions et les procédés d’action de l’ennemi.";إستراتيجية;20
54;52;استعراض القوة;Démonstration de force;هو فعل عسكري وقائي ذو طابع ردعي، يهدف إلى  الضغط على الدولة (مجموعة الدول) أو التنظيمات الاجتماعية-السياسية والتكتلات لإرغامها إما على العدول عن القيام بأي نوع من الأعمال المضادة أو تغيير سياستها بما يتجاوب ومصالح الطرف المستعرض للقوة.;Acte militaire préventif à caractère dissuasif, qui vise à faire pression sur un État (groupe d’Etats) ou sur les organisations sociopolitiques et blocs afin de les contraindre, soit à renoncer à toute action hostile  ou à modifier leurs politiques en faveur des intérêts de l’Etat qui procède à la démonstration de la force.;إستراتيجية;20
55;53;الاستعلام;Renseignement;الاستعلام هو نشاط مخطط و موجه، يشتمل على جمع المعلومات و التأكد منها و فحصها و تقييمها، للحصول على منتوج نهائي ضروري في اتخاذ القرار.;Le renseignement est une activité planifiée et orientée, consistant à recueillir des informations et les faire passer par un processus visant à les vérifier, les recouper et les évaluer,  en vue d’en extraire un produit fini, nécessaire à la prise de décision.;سطع;20
